Genehmigung des Protokolls der vorangegangenen Sitzung	Adoption of the Minutes of the previous sitting
Ziel ist es ja, die Schulden dieses Lands gegenüber der Gemeinschaft zu reduzieren.	I would be pleased if it was given to people who need it, such as pensioners.
Dieser Vorschlag zielt auch darauf ab, den Zuschuß in Höhe von 95 Millionen Euro für Armenien und Georgien laut Beschluß des Rats 97/787/EG vom 17. November 1997 zu bestätigen.	Mr President, despite having some serious concerns, I voted in favour of the financial aid package because I see in it an opportunity to establish a market economy, democracy and peace using financial incentives, of the kind put forward by Mr Karas, rather than force.
Die Zuschußkürzung auf 50 Millionen Euro ist für die Kommission schwer zu akzeptieren.	I would like to extend my heartfelt thanks to all those fellow MEPs who gave me their support in this and would like to wish you all a merry Christmas and Happy New Year!
Und zwar aus folgenden Gründen: Die finanziellen Zuwendungen der Gemeinschaft werden weiterhin in beachtlicher Höhe in einem Gebiet erfolgen, in dem die Stabilität sowohl aufgrund der Finanzkrise in Rußland als auch durch die aktuelle Situation im nördlichen Kaukasus gefährdet ist.	Mr President, very briefly on a point of order regarding the texts adopted yesterday.
Eine unfangreiche Kürzung der Zuwendungen der EU ist bereits von ursprünglich 212 Millionen Euro, einschließlich der Zinsen auf bestehende Schulden, auf zur Zeit 123 Millionen Euro erfolgt.	During the debate, I was watching what exactly was written down regarding the vote for the Murphy report on late payment.
Während der kommenden Jahre kann es jedoch zu einer weiteren Kürzung kommen, falls die Zuschüsse wie geplant gewährt werden.	I would like to ask you to get your department to look at Amendment No 20 again, as I am 99.9% certain that this is not the text we voted on or at any rate not the text which should have been submitted because this is not what the Industry Committee provided.
Für Armenien und Georgien ist die Zuschußkürzung der Gemeinschaft schwer einsehbar, da diese beiden Länder mit Hilfe des IWF und anderer Geber große Anstrengungen unternommen haben, um ihre finanziellen Verpflichtungen gegenüber der Gemeinschaft abzubauen.	I have asked to be given the floor officially because I fear that we will be unable to reach the departments during the Christmas break and in order to avoid problems during the conciliation procedure.
Dies würde die Union sowohl diesen beiden Ländern als auch der internationalen Gemeinschaft gegenüber in eine schwierige Lage versetzen.	Thank you very much, Mrs Thyssen.
Nach Auffassung der Kommission wäre es bedauerlich, würde die Union nicht ihre finanzielle Hilfe für die Länder, deren strategische Bedeutung für die Gemeinschaft offensichtlich ist, bestätigen.	We will make the appropriate checks because, evidently, the Minutes have been approved; therefore, there will have to be a technical correction where appropriate.
Unter dem Eindruck der aktuellen problematischen Lage im Kaukasus sollten wir des weiteren politische Signale setzen, die erkennen lassen, daß wir die vehementen Bemühungen um Stabilisierung, Demokratie und Reformen weiterhin unterstützen wollen.	Mr President, I do not know if this is a technical correction, but I have just discovered that I am not included in the Members from Luxembourg in Wednesday' s Minutes, concerning Mrs Palacio Vallelersundi' s report on the verification of credentials.
Die Aussprache ist geschlossen.	Mrs Reding' s name is there instead.
Wir kommen nun zur Abstimmung.	I know that I owe my seat to her being appointed a Commissioner but I do not understand, since I have been a Member of this Parliament since 16 September, why my name does not feature in the Minutes covering the verification of credentials.
Nach der Abstimmung über die Änderungsanträge	Would you please rectify this?
Herr Präsident!	Mrs Lulling, I cannot rectify this because this report does not affect you.
Nach der Abstimmung habe ich noch eine Anmerkung zum Verfahren betreffend die gestern angenommenen Texte.	You were elected on 16 September - as you quite rightly said - and this report concerns those who were elected on 13 June.
Ich möchte mit Ihrer Erlaubnis gleich nach der Abstimmung kurz um das Wort bitten.	You replaced Mrs Reding.
Einverstanden.	There will therefore be another report, which will, I hope, confirm your mandate.
(Das Parlament nimmt die legislative Entschließung an.)	Mr President, as it is now Christmas, I would be grateful if you would allow me to speak for a moment.
Erklärungen zur Abstimmung	I would like to thank you and clear up a misunderstanding.
Herr Präsident, mit dieser für 1999 letzten Abstimmungserklärung zu dem Bericht von Herrn Savary, für den ich gestimmt habe, möchte ich meine große Genugtuung zum Ausdruck bringen.	The President is entitled to allow an MEP to ask a question of the Commission.
Diese Maßnahme der Europäischen Union, mit der den bedürftigsten Regionen wie Tadschikistan eine konkrete Hilfe gewährt werden soll, wird von mir in höchstem Maße befürwortet.	I wanted to ask the Commissioner a question and also answer a question that you asked of Mr Mayer.
Wie Herr Blokland in seinen Ausführungen möchte ich der Kommissarin, Frau Wallström, - die den Rentnern in Italien, Griechenland und Spanien wegen Altautos, die schnell aus dem Verkehr gezogen werden sollen, schlaflose Nächte bereitet - sagen, daß ich es begrüßen würde, wenn die für Tadschikistan und andere Staaten bereitgestellten Hilfen auch im Hinblick auf ihren Verwendungszeck kontrolliert würden.	I wanted to say that in the spring there will be a large beer-tasting session for Bavarian beer in the Parliament courtyard here in Strasbourg.
Es wäre mir eine Freude, wenn sie auch für Personen bestimmt würden, die ihrer bedürfen, wie die Rentner.	Mr Posselt, I am very pleased, but in any case, I would remind you that, when requesting a procedural motion, you actually have to indicate the Rule to which you are referring.
Sehr geehrter Herr Präsident!	Having said that, Parliament has reached the end of the agenda.
Ich habe trotz großer Bedenken für die Finanzhilfe gestimmt, weil ich eine Chance sehe, mit Finanzanreizen, so wie sie Herr Karas vorgetragen hat, und nicht mit Gewalt Marktwirtschaft, Demokratie und Frieden herzustellen.	The Minutes of the present sitting will be subject to Parliament' s approval at the beginning of the next part-session.
Ich möchte allen Kollegen recht herzlich danken, die mich hier unterstützt haben, möchte frohe Weihnachten wünschen und ein gutes Neues Jahr!	Mr Manders has the floor for a procedural motion.
Herr Präsident!	Mr President, I would like to take this opportunity to wish you, the Bureau and all Members, a good transition into the new year.
Ganz kurz zu den gestern angenommenen Texten.	Ladies and gentlemen, before you leave me alone, I would like on behalf of the Bureau, once again, to thank all the Members, all the services, officials, assistants and other co-workers and, if you will allow me - although all the co-workers work for us - perhaps a special mention should go to the language services which help us to understand each other here.
Ich habe während der Debatte geschaut, was hier genau über die Abstimmung zum Bericht Murphy über den Zahlungsrückstand aufgeschrieben wurde.	I would also like, although they are absent, to mention the Commission and the Council.
Ich möchte Sie bitten, Ihre Dienste zu beauftragen, Änderungsantrag 20 zu überprüfen.	I am not going to re-open the 'Millennium or not the Millennium' debate, but I am going to wish all of you, and by extension, all the citizens of Europe which we represent, a happy year 2000.
Denn ich bin zu 99,9 % sicher, daß das nicht der Text ist, über den wir abgestimmt haben, beziehungsweise nicht der Text, der hier hätte vorliegen sollen, denn das ist nicht das, was der Ausschuß für Industrie, Außenhandel, Forschung und Energie eingereicht hat.	Adjournment of the session
Ich habe offiziell um das Wort gebeten, da ich befürchte, die Dienste sind während der Weihnachtspause nicht mehr zu erreichen, und außerdem soll es beim Vermittlungsverfahren keine Schwierigkeiten geben.	I declare the session of the European Parliament adjourned.
Vielen Dank, Frau Thyssen.	(The sitting was closed at 10.50 a.m.)
